sample_id,molecule_h5,Done,List,sample_id_ori
STARR_015,/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force/outs/molecule_info.h5,Jia,31,STARR_015_combine_force
STARR_016,/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016/outs/molecule_info.h5,Jia,33,STARR_016
STARR_024,/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine/outs/molecule_info.h5,Jia,76,STARR_024_combine
STARR_026,/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_026/outs/molecule_info.h5,Jia,38,STARR_026
STARR_028,/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028/outs/molecule_info.h5,Jia,37,STARR_028
STARR_031,/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031/outs/molecule_info.h5,Jia,36,STARR_031
STARR_032,/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032/outs/molecule_info.h5,Jia,35,STARR_032
STARR_039,/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/Nie_P0111212/STARR_039/outs/molecule_info.h5,Jia,64,STARR_039
STARR_041,/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine/outs/molecule_info.h5,Jia,78,STARR_041_combine
STARR_043,/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/Nie_P0111212/STARR_043/outs/molecule_info.h5,Jia,66,STARR_043
